AAMC,Altisource Asset Management Corp Com,$21.99,-0.06,-0.272%,36288162.00,United States,,1796,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.7187,-0.0263,-3.53%,86638287.00,Canada,2015,4394805,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$31.72,-1.60,-4.802%,105910320.00,United States,1988,17595,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$9.52,-0.73,-7.122%,14716816.00,United States,,107469,Technology,Diversified Commercial Services
AE,Adams Resources & Energy Inc. Common Stock,$24.88,0.01,0.04%,105548026.00,United States,,3079,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.62,-0.05,-0.577%,437480326.00,United States,,74877,,
AGE,AgeX Therapeutics Inc. Common Stock,$2.10,0.04,1.942%,79151199.00,,2018,503313,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.75,0.67,32.212%,109147533.00,United States,,52694060,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$7.94,0.41,5.445%,20278141.00,United States,2014,18990,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.73,0.19,12.338%,54892476.00,United States,,1787666,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$3.65,0.96,35.688%,84735976.00,China,,12414377,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.95,0.21,12.069%,360857250.00,United States,,5291480,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.83,0.31,12.302%,16303630.00,United States,,573508,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$19.56,1.39,7.65%,134799852.00,United States,2020,3445371,Health Care,Major Pharmaceuticals
