XLY,Consumer Discretionary Select Sector SPDR Fund,Broad Consumer Discretionary,"$19,362.70",7.12%,3375665,$172.23,0.96%, 
XLC,Communication Services Select Sector SPDR Fund,Media,"$11,897.30",5.82%,3532359,$71.41,1.26%, 
VCR,Vanguard Consumer Discretionary ETF,Broad Consumer Discretionary,"$5,280.31",8.37%,112379,$298.20,1.00%, 
IBUY,Amplify Online Retail ETF,Retail,"$1,750.11",16.75%,249479,$133.47,0.68%, 
FXD,First Trust Consumer Discretionary AlphaDEX Fund,Broad Consumer Discretionary,"$1,461.07",9.89%,141638,$55.91,1.29%, 
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Broad Consumer Discretionary,"$1,402.33",8.08%,173351,$77.28,0.98%, 
IYC,iShares US Consumer Services ETF,Consumer Services,"$1,283.01",3.53%,103246,$72.99,0.79%, 
ONLN,ProShares Online Retail ETF,Retail,"$1,265.46",18.29%,182929,$89.72,2.14%, 
PEJ,Invesco Dynamic Leisure and Entertainment ETF,Broad Consumer Discretionary,$913.65,11.27%,443621,$44.54,1.55%, 
ESPO,VanEck Vectors Video Gaming and eSports ETF,Gaming,$872.71,10.63%,169179,$77.45,1.35%, 
HERO,Global X Video Games & Esports ETF,Gaming,$810.34,12.27%,288113,$34.86,2.32%, 
CHIQ,Global X MSCI China Consumer Discretionary ETF,Broad Consumer Discretionary,$677.19,14.28%,520987,$40.66,0.89%, 
XRT,SPDR S&P Retail ETF,Retail,$515.41,22.61%,4623372,$78.86,2.20%, 
RXI,iShares Global Consumer Discretionary ETF,Broad Consumer Discretionary,$455.08,6.66%,16954,$165.90,1.29%, 
BETZ,Roundhill Sports Betting & iGaming ETF,Gaming,$346.56,19.35%,310849,$30.84,3.63%, 
RCD,Invesco S&P 500® Equal Weight Consumer Discretionary ETF,Broad Consumer Discretionary,$333.82,7.46%,60027,$131.44,1.72%, 
RTH,VanEck Vectors Retail ETF,Retail,$204.12,3.54%,16141,$162.64,0.22%, 
EBIZ,Global X E-commerce ETF,Broad Consumer Discretionary,$185.98,14.83%,80894,$36.55,1.22%, 
NERD,Roundhill BITKRAFT Esports & Digital Entertainment ETF,Gaming,$99.53,20.60%,54332,$36.35,2.68%, 
BJK,VanEck Vectors Gaming ETF,Gaming,$98.19,7.92%,34389,$50.55,3.69%, 
INCO,Columbia India Consumer ETF,Broad Consumer Discretionary,$93.51,8.43%,6116,$52.26,-0.89%, 
PEZ,Invesco DWA Consumer Cyclicals Momentum ETF,Broad Consumer Discretionary,$82.47,23.48%,14273,$93.93,3.37%, 
CARZ,First Trust NASDAQ Global Auto Index Fund,Automotive,$69.33,12.60%,26635,$58.34,1.13%, 
PBS,Invesco Dynamic Media ETF,Media,$68.13,12.69%,15038,$51.95,2.18%, 
RETL,Direxion Daily Retail Bull 3X Shares,,,,,,,
BUYZ,Franklin Disruptive Commerce ETF,Broad Consumer Discretionary,$45.38,14.42%,17567,$58.97,1.39%, 
JHMC,John Hancock Multi-Factor Consumer Discretionary ETF,Broad Consumer Discretionary,$44.79,7.33%,3678,$49.20,1.46%, 
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,Broad Consumer Discretionary,$35.61,21.61%,8487,$99.05,2.09%, 
XBUY,Amplify International Online Retail ETF,Retail,$26.93,13.78%,10302,$58.39,1.34%, 
UCC,ProShares Ultra Consumer Services,Consumer Services,$26.46,5.76%,2110,$91.87,1.42%, 
WANT,Direxion Daily Consumer Discretionary Bull 3X Shares,Broad Consumer Discretionary,$26.13,20.63%,28143,$61.64,2.82%, 
BFIT,Global X Health & Wellness Thematic ETF,Broad Consumer Discretionary,$24.60,3.93%,7792,$26.58,1.57%, 
IEDI,iShares Evolved U.S. Discretionary Spending ETF,Broad Consumer Discretionary,$24.32,3.20%,4689,$41.48,0.97%, 
IEME,iShares Evolved U.S. Media and Entertainment ETF,Media,$16.15,8.87%,3479,$36.90,1.60%, 
FTXD,First Trust Nasdaq Retail ETF,Retail,$7.55,11.02%,4452,$31.24,0.81%, 
VCAR,Simplify Volt Pop Culture Disruption ETF,Automotive,$2.92,10.17%,N/A,$14.41,-0.07%, 
SCC,ProShares Ultra Short Consumer Services,Consumer Services,$1.07,-7.07%,1813,$11.00,-1.43%,
XLP,Consumer Staples Select Sector SPDR Fund,Broad Consumer Staples,"$11,405.60",-2.51%,9821815,$65.76,0.94%, 
VDC,Vanguard Consumer Staples ETF,Broad Consumer Staples,"$5,381.32",-1.34%,128251,$171.59,0.92%, 
IEV,iShares Europe ETF,Broad Consumer Staples,"$1,599.80",1.71%,242948,$48.74,0.68%, 
FSTA,Fidelity MSCI Consumer Staples Index ETF,Broad Consumer Staples,$830.74,-1.35%,138716,$40.13,0.93%, 
IYK,iShares U.S. Consumer Goods ETF,Consumer Goods,$771.66,4.08%,30287,$180.48,1.18%, 
KXI,iShares Global Consumer Staples ETF,Broad Consumer Staples,$510.58,-2.78%,65173,$56.66,0.59%, 
RHS,Invesco S&P 500® Equal Weight Consumer Staples ETF,Broad Consumer Staples,$471.68,-0.42%,16297,$150.70,0.84%, 
CLIX,ProShares Long Online/Short Stores ETF,Broad Consumer Staples,$254.28,8.93%,34860,$100.62,2.00%, 
FXG,First Trust Consumer Staples AlphaDEX Fund,Broad Consumer Staples,$233.29,3.99%,24268,$53.68,0.60%, 
ECON,Columbia Emerging Markets Consumer ETF,Broad Consumer Staples,$198.70,10.07%,32332,$31.03,1.31%, 
PSL,Invesco DWA Consumer Staples Momentum ETF,Broad Consumer Staples,$106.87,6.01%,5776,$91.85,1.39%, 
PBJ,Invesco Dynamic Food & Beverage ETF,Food & Beverage,$67.21,6.39%,14127,$38.17,1.01%, 
WBIL,WBI Bull|Bear Quality 1000 ETF,Broad Consumer Staples,$43.23,5.01%,4994,$27.96,0.65%, 
PSCC,Invesco S&P SmallCap Consumer Staples ETF,Broad Consumer Staples,$36.62,12.62%,2705,$98.03,1.13%, 
WBIE,WBI Bull|Bear Rising Income 1000 ETF,Food & Beverage,$34.82,0.64%,5610,$28.47,0.74%, 
JHMS,John Hancock Multifactor Consumer Staples ETF,Broad Consumer Staples,$24.61,0.13%,1463,$32.37,0.65%, 
CHIS,Global X MSCI Consumer Staples ETF,Broad Consumer Staples,$24.10,8.66%,14432,$37.40,1.91%, 
IECS,iShares Evolved U.S. Consumer Staples ETF,Broad Consumer Staples,$23.94,-1.79%,9989,$30.43,0.96%, 
UGE,ProShares Ultra Consumer Goods,Consumer Goods,$12.94,7.78%,1640,$89.24,2.42%, 
EMTY,ProShares Decline of the Retail Store ETF,Broad Consumer Staples,$11.35,-15.72%,22821,$19.23,-0.21%, 
FTXG,First Trust Nasdaq Food & Beverage ETF,Food & Beverage,$3.66,6.09%,2036,$24.58,0.86%, 
SZK,ProShares Ultra Short Consumer Goods,Consumer Goods,$0.69,-8.93%,1987,$8.21,-2.61%, 
XLE,Energy Select Sector SPDR Fund,Oil & Gas Exploration & Production,"$16,730.00",12.30%,35023576,$42.56,0.85%, 
ICLN,iShares Global Clean Energy ETF,Clean Energy,"$6,947.73",10.41%,7202911,$31.18,0.74%, 
TAN,Invesco Solar ETF,Solar Energy,"$4,932.43",13.56%,2222186,$116.69,1.43%, 
AMLP,Alerian MLP ETF,MLP,"$4,392.98",9.70%,3601278,$28.15,0.64%, 
VDE,Vanguard Energy ETF,Oil & Gas Exploration & Production,"$3,785.07",14.00%,1231291,$59.12,1.04%, 
PBW,Invesco WilderHill Clean Energy ETF,Clean Energy,"$3,406.61",25.61%,798976,$129.87,-0.14%, 
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,Clean Energy,"$3,194.74",20.43%,930735,$84.58,0.51%, 
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Oil & Gas Exploration & Production,"$2,674.42",19.68%,8605837,$70.01,0.30%, 
AMJ,JPMorgan Alerian MLP Index ETN,MLP,"$1,787.90",10.22%,1357737,$15.31,0.79%, 
EMLP,First Trust North American Energy Infrastructure Fund,MLP,"$1,758.81",4.34%,607711,$21.88,0.51%, 
ACES,ALPS Clean Energy ETF,Clean Energy,"$1,146.24",21.80%,170603,$97.62,0.89%, 
IXC,iShares Global Energy ETF,Oil & Gas Exploration & Production,"$1,129.31",8.37%,1123217,$22.01,0.78%, 
OIH,VanEck Vectors Oil Services ETF,Oil Equipment & Services,$781.88,14.81%,442610,$176.81,-0.33%, 
MLPA,Global X MLP ETF,MLP,$709.79,6.89%,369452,$29.31,-1.97%, 
FENY,Fidelity MSCI Energy Index ETF,Oil & Gas Exploration & Production,$672.62,13.60%,939856,$11.53,0.87%, 
MLPX,Global X MLP & Energy Infrastructure ETF,MLP,$628.69,7.27%,174732,$28.91,-0.86%, 
GUSH,Direxion Daily S&P Oil & Gas Exploration & Production Bull 2x Shares,Oil & Gas Exploration & Production,$567.46,40.35%,3228551,$53.57,0.45%, 
IYE,iShares U.S. Energy ETF,Oil & Gas Exploration & Production,$547.57,12.25%,2137186,$22.72,0.89%, 
PZD,Invesco Cleantech™ ETF,Cleantech,$509.59,6.10%,49654,$79.71,0.87%, 
ERX,Direxion Daily Energy Bull 2X Shares,Oil & Gas Exploration & Production,$507.99,24.46%,5412376,$17.86,1.77%, 
PBD,Invesco Global Clean Energy ETF,Clean Energy,$488.46,12.09%,261198,$38.95,0.28%, 
FAN,First Trust ISE Global Wind Energy Index Fund,Wind Energy,$483.61,4.76%,319956,$24.41,0.41%, 
ERUS,iShares MSCI Russia ETF,Broad Energy,$454.89,3.16%,183514,$38.47,1.80%, 
CNRG,SPDR S&P Kensho Clean Power ETF,Clean Energy,$410.23,29.37%,70184,$140.10,1.34%, 
TPYP,Tortoise North American Pipeline Fund,Broad Energy,$340.30,6.99%,226781,$18.53,0.76%,
SMOG,VanEck Vectors Low Carbon Energy ETF,Clean Energy,$326.39,10.34%,23913,$182.59,0.38%, 
NRGU,MicroSectors U.S. Big Oil Index 3X Leveraged ETN,Oil & Gas Exploration & Production,$279.26,36.26%,455800,$83.35,1.65%, 
IEO,iShares U.S. Oil & Gas Exploration & Production ETF,Oil & Gas Exploration & Production,$188.85,14.19%,140651,$40.97,0.15%, 
MLPB,ETRACS Alerian MLP Infrastructure Index ETN,MLP,$173.28,7.25%,49938,$12.73,0.47%, 
FXN,First Trust Energy AlphaDEX Fund,Broad Energy,$172.58,12.24%,405233,$8.90,0.11%, 
AMZA,InfraCap MLP ETF,MLP,$170.70,13.84%,130613,$21.15,0.33%, 
ATMP,Barclays ETN+ Select MLP ETN,MLP,$158.92,9.60%,90637,$12.80,0.79%, 
XES,SPDR S&P Oil & Gas Equipment & Services ETF,Oil Equipment & Services,$155.30,17.89%,108314,$52.86,0.17%, 
IEZ,iShares U.S. Oil Equipment & Services ETF,Oil Equipment & Services,$146.07,12.63%,356759,$12.66,-0.24%, 
DIG,ProShares Ultra Oil & Gas,Oil & Gas Exploration & Production,$145.11,24.75%,100521,$90.98,1.80%, 
FCG,First Trust ISE-Revere Natural Gas Index Fund,Natural Gas,$129.93,21.66%,958413,$10.73,-0.09%, 
YLCO,Global X YieldCo & Renewable Energy Income ETF,YieldCos,$111.43,-0.06%,89033,$18.14,-1.14%, 
RYE,Invesco S&P 500® Equal Weight Energy ETF,Oil & Gas Exploration & Production,$88.76,12.07%,66898,$34.84,-0.49%, 
AMUB,ETRACS Alerian MLP Index ETN,MLP,$71.61,9.92%,27010,$9.58,0.52%, 
DRIP,Direxion Daily S&P Oil & Gas Exploration & Production Bear 2x Shares,Oil & Gas Exploration & Production,$61.65,-34.49%,2177578,$17.40,-0.68%, 
FILL,iShares MSCI Global Energy Producers ETF,Oil & Gas Exploration & Production,$61.36,7.04%,40598,$13.98,0.79%, 
ENFR,Alerian Energy Infrastructure ETF,Energy Infrastructure,$44.46,9.69%,41079,$16.07,0.69%, 
PSCE,Invesco S&P SmallCap Energy ETF,Broad Energy,$40.96,29.61%,158695,$5.69,2.15%, 
PXI,Invesco DWA Energy Momentum ETF,Oil & Gas Exploration & Production,$37.10,23.82%,30089,$21.78,1.78%, 
ERY,Direxion Daily Energy Bear 2X Shares,Oil & Gas Exploration & Production,$28.93,-23.94%,647322,$26.31,-1.83%, 
BMLP,Dorsey Wright MLP Index ETN,MLP,$26.26,16.09%,1250,$39.44,1.00%, 
EINC,VanEck Vectors Energy Income ETF,Energy Infrastructure,$25.02,8.86%,5451,$44.69,1.27%, 
MLPR,ETRACS Quarterly Pay 1.5x Leveraged Alerian MLP Index ETN,MLP,$24.48,10.31%,10316,$24.88,1.02%, 
FTXN,First Trust Nasdaq Oil & Gas ETF,Oil & Gas Exploration & Production,$22.31,16.29%,17959,$13.52,0.30%, 
PXE,Invesco Dynamic Energy Exploration & Production ETF,Oil & Gas Exploration & Production,$19.94,19.69%,18865,$12.14,0.50%,
CRAK,VanEck Vectors Oil Refiners ETF,Oil & Gas Exploration & Production,$18.47,5.71%,8370,$26.39,-0.15%, 
NLR,VanEck Vectors Uranium+Nuclear Energy ETF,Nuclear Energy,$18.05,1.86%,1935,$50.11,1.05%, 
NRGD,MicroSectors U.S. Big Oil Index -3X Inverse Leveraged ETN,Oil & Gas Exploration & Production,$17.96,-37.81%,1019295,$3.80,-2.81%, 
DUG,ProShares Ultra Short Oil & Gas,Oil & Gas Exploration & Production,$16.37,-23.86%,191737,$21.95,-1.83%, 
JHME,John Hancock Multi-Factor Energy ETF,Oil & Gas Exploration & Production,$15.90,11.20%,7444,$16.19,0.12%, 
USAI,American Energy Independence ETF,Oil & Gas Exploration & Production,$15.60,8.98%,4713,$19.71,1.13%, 
KWT,iShares MSCI Kuwait ETF,Solar Energy,$15.36,3.45%,4360,$28.28,0.35%, 
PYPE,ETRACS NYSE Pickens Core Midstream Index ETN,Oil & Gas Exploration & Production,$14.87,5.98%,4744,$14.97,0.67%, 
FRAK,VanEck Vectors Unconventional Oil & Gas ETF,Unconventional Oil & Natural Gas,$12.85,16.74%,1705,$89.30,0.33%, 
IMLP,iPath S&P MLP ETN,MLP,$12.23,12.74%,3284,$10.60,1.73%, 
PXJ,Invesco Dynamic Oil & Gas Services ETF,Oil Equipment & Services,$9.90,13.36%,51852,$3.31,-0.60%, 
DDG,Short Oil & Gas ProShares,Oil & Gas Exploration & Production,$2.86,-12.19%,6117,$22.40,-0.84%, 
CHIE,Global X MSCI China Energy ETF,Broad Energy,$2.13,2.58%,3148,$8.64,1.77%, 
XLF,Financial Select Sector SPDR Fund,Broad Financials,"$29,528.10",4.78%,54770088,$30.89,0.03%, 
VFH,Vanguard Financials ETF,Broad Financials,"$7,691.89",5.24%,613705,$76.67,0.18%, 
KBE,SPDR S&P Bank ETF,Banks,"$2,984.33",10.09%,3224817,$46.04,-0.15%, 
KRE,SPDR S&P Regional Banking ETF,Regional Banks,"$2,941.35",13.47%,8536824,$58.95,-0.17%, 
FAS,Direxion Daily Financial Bull 3X Shares,Financial Services,"$2,292.64",12.99%,2497611,$68.70,0.44%, 
KBWB,Invesco KBW Bank ETF,Banks,"$1,878.85",8.79%,955344,$54.81,0.04%, 
IYF,iShares U.S. Financials ETF,Broad Financials,"$1,582.05",3.68%,366535,$69.23,0.16%, 
IYG,iShares U.S. Financial Services ETF,Financial Services,"$1,266.30",4.25%,76263,$156.43,0.00%, 
FINX,Global X FinTech Thematic ETF,Financial Services,"$1,157.51",6.68%,236911,$49.83,2.30%, 
FNCL,Fidelity MSCI Financials Index ETF,Broad Financials,"$1,064.30",5.38%,223825,$44.49,0.20%, 
EUFN,iShares MSCI Europe Financials ETF,Broad Financials,"$1,040.53",1.71%,1532557,$17.84,0.62%, 
FXO,First Trust Financials AlphaDEX Fund,Broad Financials,$766.18,8.34%,199237,$37.14,0.13%, 
UYG,ProShares Ultra Financials,Broad Financials,$623.88,6.78%,69868,$45.18,0.47%, 
IXG,iShares Global Financials ETF,Broad Financials,$370.27,3.87%,43716,$67.62,0.68%, 
KIE,SPDR S&P Insurance ETF,Insurance,$335.62,1.49%,292279,$34.08,0.80%, 
IAT,iShares U.S. Regional Banks ETF,Regional Banks,$320.95,10.34%,131790,$50.03,-0.24%, 
KBWD,Invesco KBW High Dividend Yield Financial ETF,Broad Financials,$313.84,7.80%,155552,$17.73,1.20%, 
BIZD,VanEck Vectors BDC Income ETF,Business Development Company,$313.40,8.89%,227333,$14.95,1.36%, 
KBWP,Invesco KBW Property & Casualty Insurance ETF,Insurance,$256.53,-0.21%,22024,$68.14,0.61%, 
DPST,Direxion Daily Regional Banks Bull 3X Shares,Regional Banks,$253.28,40.28%,408167,$168.50,-0.48%, 
IAI,iShares US Broker-Dealers ETF,Broker-Dealers,$205.06,7.32%,33633,$85.36,0.64%, 
PSP,Invesco Global Listed Private Equity ETF,Private Equity,$198.88,6.90%,83390,$14.41,0.98%, 
RYF,Invesco S&P 500® Equal Weight Financials ETF,Broad Financials,$186.08,5.44%,51079,$50.62,0.14%, 
FAZ,Direxion Daily Financial Bear 3X Shares,Financial Services,$181.85,-16.18%,4081670,$6.06,-0.49%, 
DFNL,Davis Select Financial ETF,Broad Financials,$160.61,5.54%,13716,$25.18,0.76%, 
GREK,Global X FTSE Greece 20 ETF,Broad Financials,$147.25,-6.13%,87578,$23.90,1.10%, 
PHDG,Invesco S&P 500® Downside Hedged ETF,Broad Financials,$145.49,4.54%,55703,$34.57,0.26%, 
FTXO,First Trust Nasdaq Bank ETF,Banks,$137.80,14.48%,78054,$27.22,0.00%, 
QABA,First Trust NASDAQ ABA Community Bank Index,Community Banks,$95.58,9.83%,25349,$49.17,0.16%, 
IAK,iShares U.S. Insurance ETF,Insurance,$63.74,2.03%,4467,$68.87,0.32%, 
KCE,SPDR S&P Capital Markets ETF,Capital Markets,$56.50,5.30%,12733,$79.30,0.53%, 
BNKU,MicroSectors U.S. Big Banks Index 3x Leveraged ETN,Broad Financials,$54.90,17.19%,130217,$29.93,0.44%, 
CHIX,Global X MSCI China Financials ETF,Broad Financials,$53.99,4.02%,70587,$16.03,1.07%, 
BDCZ,ETRACS Wells Fargo Business Development Company Index ETN,Business Development Company,$48.33,5.84%,20459,$17.18,1.66%, 
KBWR,Invesco KBW Regional Banking ETF,Regional Banks,$47.23,12.58%,10390,$53.25,-0.19%, 
PFI,Invesco DWA Financial Momentum ETF,Broad Financials,$40.95,7.82%,9610,$46.43,0.78%, 
PSCF,Invesco S&P SmallCap Financials ETF,Broad Financials,$31.51,6.59%,4954,$52.17,0.17%, 
BDCX,ETRACS Quarterly Pay 1.5x Leveraged Wells Fargo BDC Index ETN,Business Development Company,$31.42,8.77%,21843,$32.38,2.31%, 
JHMF,John Hancock Multi-Factor Financials ETF,Broad Financials,$29.89,4.03%,2349,$43.17,0.28%, 
ZIG,Acquirers Fund,Broad Financials,$25.70,5.37%,6446,$24.24,0.50%, 
VPC,Virtus Private Credit Strategy ETF,Broad Financials,$23.07,10.64%,7598,$22.36,0.90%, 
PEX,ProShares Global Listed Private Equity ETF,Private Equity,$20.97,6.38%,1673,$34.03,1.92%, 
SKF,ProShares Ultra Short Financials,Broad Financials,$20.13,-7.78%,53029,$14.57,-0.48%, 
SEF,Short Financials ProShares,Broad Financials,$15.30,-3.90%,31252,$15.34,-0.13%, 
BNKD,MicroSectors U.S. Big Banks Index -3x Inverse Leveraged ETN,Broad Financials,$15.03,-23.48%,41454,$3.03,-0.66%, 
IEFN,iShares Evolved U.S. Financials ETF,Broad Financials,$5.19,4.63%,1940,$26.57,0.26%, 
VFIN,Simplify Volt Fintech Disruption ETF,Broad Financials,$3.65,9.68%,N/A,$13.40,-0.52%, 
INDF,Nifty India Financials ETF,Broad Financials,$3.33,8.78%,3621,$34.18,1.00%, 
LEND,Amplify CrowdBureau Peer-to-Peer Lending & Crowdfunding ETF,Broad Financials,$0.79,18.33%,1356,$16.41,1.48%,
XLV,Health Care Select Sector SPDR Fund,Broad Healthcare,"$25,010.40",1.97%,8540330,$115.67,0.18%, 
VHT,Vanguard Healthcare ETF,Broad Healthcare,"$13,891.20",4.15%,268503,$233.02,0.48%, 
ARKG,ARK Genomic Revolution ETF,Biotechnology,"$11,614.70",16.78%,4479489,$108.90,-0.03%, 
IBB,iShares Nasdaq Biotechnology ETF,Biotechnology,"$10,914.20",11.59%,2836776,$169.05,1.76%, 
